Loop	Degree_mean	Degree_sum	Clustering_mean	MaxDiameter_max	Betweenness_mean	
100	0.001400	14	-1	1	-0.998600	
200	0.002400	24	-1	1	-0.997600	
300	0.003000	30	-1	1	-0.997000	
400	0.003600	36	-1	1	-0.996400	
500	0.004800	48	-1	1	-0.995200	
600	0.005800	58	-1	1	-0.994200	
700	0.006600	66	-1	1	-0.993400	
800	0.007200	72	-0.999900	2	-0.992900	
900	0.009200	92	-0.999900	2	-0.990900	
1000	0.010400	104	-0.999900	2	-0.989700	
1100	0.011200	112	-0.999900	2	-0.988900	
1200	0.013000	130	-0.999900	2	-0.987100	
1300	0.014200	142	-0.999900	2	-0.985900	
1400	0.014800	148	-0.999900	2	-0.985300	
1500	0.015800	158	-0.999900	2	-0.984300	
1600	0.017200	172	-0.999800	2	-0.983000	
1700	0.018600	186	-0.999800	2	-0.981600	
1800	0.021200	212	-0.999800	2	-0.979000	
1900	0.022200	222	-0.999700	2	-0.978100	
2000	0.023600	236	-0.999700	2	-0.976700	
